Subj,Political Affiliation and Ideology 2,BorderWall,WorkStatus,TravelBan,Healthcare,Citizenship,ICE,Please indicate your age:,Please indicate your gender:
1,3,1,4,5,1,1,4,29,female
2,6,7,2,7,1,3,7,24,Male
3,3,1,1,5,5,5,7,30,male
4,4,1,6,1,4,6,1,30,male
5,2,2,6,2,5,7,5,33,male
6,4,1,7,1,2,7,2,24,Male
7,2,1,5,1,7,7,1,39,Male
8,1,1,7,1,7,7,1,34,male
9,2,1,6,2,4,7,1,27,female
10,3,1,1,3,5,7,5,28,male
11,4,4,5,5,5,5,4,24,female
12,2,1,5,1,3,6,1,38,female
13,1,1,5,1,4,5,1,25,Female
14,7,4,1,7,1,4,4,35,Male
15,4,5,2,2,2,6,4,25,male
16,3,6,1,7,1,2,6,28,Male
17,3,1,2,2,2,5,7,27,Male
18,6,7,1,7,1,5,7,23,Male
19,5,3,5,3,4,6,3,27,Male
20,4,4,4,4,4,4,4,23,Male
21,1,1,6,1,6,6,1,50,female
22,3,5,6,3,5,6,4,26,Male
23,4,3,2,2,3,5,4,24,m
24,2,1,5,3,4,6,3,33,Male
25,4,1,1,1,1,7,5,29,Male
26,5,6,2,5,2,2,6,27,Male
27,6,6,1,7,2,3,7,58,female
28,2,1,3,1,6,7,1,30,Male
29,2,1,5,1,6,7,1,34,male
30,3,3,5,6,4,3,5,23,male
31,5,2,2,7,4,4,7,35,male
32,1,1,7,1,7,7,1,36,Female
33,4,1,6,1,5,7,5,54,female
34,1,2,7,3,4,7,1,38,Female
35,4,2,2,6,2,6,6,29,male
36,2,1,5,2,3,6,3,38,Male
37,2,1,5,1,5,7,4,36,Male
38,3,1,3,1,1,7,1,35,female
39,3,1,5,1,5,7,1,34,FEMALE
40,3,1,4,1,3,6,2,34,male
41,1,1,4,1,4,5,4,30,female
42,5,6,2,7,2,2,6,29,male
43,4,2,1,4,4,7,4,37,female
44,2,1,7,1,7,7,1,53,female
45,3,1,6,1,3,7,1,28,FEMALE
46,1,1,6,1,7,7,1,23,Genderless
47,1,1,6,1,3,6,1,41,female
48,4,1,5,2,4,7,3,33,female
49,5,1,2,1,4,7,4,21,Male
50,7,7,1,5,1,1,7,48,Male
51,5,7,1,7,1,1,7,44,female
52,2,1,5,1,6,7,1,44,Female
53,6,2,6,2,6,6,2,37,female
54,4,1,7,1,7,7,1,32,FEMALE
55,4,2,3,2,2,5,4,33,female
56,1,1,5,1,6,6,1,36,Male
57,6,7,1,7,1,5,7,25,Male
58,1,1,7,1,7,7,1,29,Male
59,1,1,6,1,5,7,1,32,Male
60,6,6,1,7,1,3,7,52,female
61,3,1,1,5,1,1,5,24,Male
62,2,3,6,2,5,6,1,34,male
63,2,5,3,7,6,6,7,28,male
64,2,2,5,3,2,4,5,29,male
65,6,7,1,6,1,5,7,28,Female
66,4,1,1,1,4,5,1,31,female
67,5,6,2,3,4,4,4,29,male
68,6,7,1,4,1,1,6,36,female
69,2,1,6,2,4,7,1,36,Female
70,3,6,5,6,6,6,6,36,Male
71,4,4,1,4,1,4,7,24,female
72,1,1,7,1,1,7,7,22,male
73,5,5,2,2,4,6,3,24,male
74,4,7,1,7,1,1,7,24,Male
75,1,1,6,1,7,7,1,39,Female
76,5,7,1,7,1,1,7,53,m
77,2,2,4,2,5,6,1,28,male
78,6,5,1,7,1,1,7,50,Female
79,4,2,4,5,2,3,5,26,female
80,6,7,1,6,1,2,6,32,Male
81,4,1,1,5,2,6,4,24,female
82,1,1,2,1,2,7,1,47,Female
83,4,1,7,2,6,6,2,35,Female
84,4,2,4,1,4,5,4,34,Male
85,5,5,1,3,1,5,6,40,female
86,3,1,3,1,5,7,1,32,Male
87,4,1,4,1,5,7,1,23,Male
88,2,1,7,1,7,7,1,42,male
89,6,2,1,5,4,5,5,24,Male
90,1,2,2,2,2,2,2,32,F
91,5,1,6,4,6,6,2,37,Female
92,4,7,1,1,1,1,7,26,Female
93,1,1,5,1,2,6,4,55,female
94,2,1,3,2,6,6,2,33,male
95,1,1,7,1,7,7,1,31,Male
96,3,5,2,7,1,7,7,36,female 
97,7,5,2,5,3,6,5,71,Female
98,3,1,6,1,5,7,4,32,female
99,2,4,6,4,4,6,4,28,male
100,3,1,3,1,5,6,3,25,female
101,2,2,5,2,6,6,2,37,male
102,3,1,5,4,4,7,4,25,female
103,1,1,6,1,7,7,1,37,female
104,2,2,5,2,6,6,2,26,Male
105,4,5,4,4,3,5,6,33,Male
106,3,4,5,4,5,6,4,23,male
107,5,2,1,5,3,4,4,22,Male
108,3,6,3,6,1,2,7,57,female
109,7,6,1,7,1,7,6,54,Male
110,4,4,3,4,2,3,4,24,Male
111,6,6,2,6,2,2,7,27,Male
112,2,1,7,2,6,7,1,24,Male
113,1,1,6,3,4,7,2,24,female
114,1,1,7,1,7,7,1,32,male
115,2,3,5,4,3,5,1,30,male
116,3,2,5,2,4,5,4,32,male
117,3,5,2,3,6,7,6,61,male
118,3,1,3,5,5,6,3,47,male
119,3,1,5,1,5,7,1,35,male
120,2,1,5,2,4,5,2,31,male
121,1,1,7,1,7,7,1,42,male
122,2,3,3,5,2,6,6,38,female
123,3,2,4,4,3,6,4,27,Female
124,2,2,6,2,5,7,2,31,male
125,6,4,3,4,3,3,4,56,female
126,2,1,5,1,5,7,1,42,Male
127,1,1,3,1,6,6,4,38,male
128,4,1,2,4,2,6,6,34,Male
129,5,5,3,3,5,6,5,59,Female
130,1,1,6,1,6,7,1,38,Female
131,3,1,5,2,6,7,4,25,Male
132,5,7,1,7,1,4,7,32,Male
133,1,1,5,1,6,7,1,43,female
134,3,5,7,4,6,7,5,34,male
135,4,1,1,7,1,1,7,35,Male
136,3,2,6,1,5,6,2,29,male
137,4,6,2,6,2,2,6,39,male
138,2,1,7,1,6,7,1,41,female
139,1,1,6,1,7,6,1,42,male
140,2,1,7,1,7,7,1,46,female
141,5,7,1,6,2,2,7,61,Female
142,2,1,5,2,3,6,3,27,Male
143,2,1,7,3,6,7,1,35,female
144,3,2,4,3,4,6,4,28,Male
145,2,1,5,3,4,6,3,24,Male
146,2,1,5,1,6,7,1,33,Male
147,5,5,1,2,1,3,5,33,Male
148,4,1,1,1,1,1,7,27,male
149,1,7,5,1,2,6,2,28,Male
150,4,1,5,2,5,6,3,26,Female
151,1,1,7,1,7,7,1,29,Female 
152,1,1,7,1,7,7,1,37,male
153,1,1,7,1,7,7,1,35,Male
154,3,1,5,1,4,6,1,29,female
155,3,1,6,2,5,7,4,31,Male
156,4,5,4,4,5,5,5,47,female
157,3,1,4,1,5,5,1,37,female
158,6,7,1,7,1,1,6,34,female
159,3,1,5,3,4,4,4,27,Male
160,6,6,2,3,2,2,6,36,male
161,5,5,5,7,1,6,4,33,Male
162,1,6,4,4,5,6,6,22,Male
163,2,1,5,1,5,7,1,34,female
164,5,6,1,1,7,5,2,24,male
165,6,7,1,7,7,1,7,56,Male
166,2,2,7,2,6,7,1,34,female
167,3,2,1,1,3,6,5,27,Male
168,5,5,1,7,2,7,3,39,female
169,5,5,3,2,5,7,1,43,Male
170,5,5,2,3,5,2,7,42,female
171,2,1,5,2,4,5,3,29,female
172,3,1,6,1,6,7,1,28,Female
173,3,1,4,1,6,6,4,25,female
174,2,1,5,1,4,7,1,28,Female
175,3,1,3,1,6,6,1,34,Male
176,2,2,5,2,6,6,7,29,male
177,4,7,7,1,5,5,7,52,male
178,2,1,2,1,5,7,1,58,female
179,2,4,4,4,4,4,5,32,female
180,2,1,7,1,7,7,4,42,female
181,3,1,3,5,4,5,4,31,MALE
182,4,1,1,1,1,2,7,36,male
183,3,1,7,1,6,7,1,35,Male
184,1,1,7,1,7,7,4,37,Female
185,2,7,1,1,1,1,7,71,male
186,5,7,1,7,1,2,7,50,male
187,2,1,7,1,1,7,1,28,Male
188,3,1,3,4,5,3,4,23,male
189,2,3,5,2,5,5,2,31,male
190,5,1,7,2,7,7,1,29,female
191,6,7,1,3,1,4,7,27,male
192,2,2,1,6,1,1,5,28,male
193,7,7,1,7,1,1,7,63,female
194,4,1,3,2,1,5,4,31,male
195,4,1,4,5,4,7,3,34,female
196,3,5,5,6,3,4,4,55,female
197,4,4,4,4,4,4,4,35,Male
198,2,3,2,3,3,6,2,30,Male
199,4,1,6,1,7,7,4,22,Male
200,4,5,4,4,4,6,4,28,male
201,1,1,6,2,7,7,1,55,Male
202,5,2,3,5,4,6,5,30,Male
203,2,1,5,3,6,7,1,50,Male
204,2,1,3,2,5,6,2,39,female
205,2,1,7,1,5,7,1,32,male
206,1,1,7,1,7,7,1,28,male
207,1,1,5,3,5,7,1,29,female
208,5,2,2,6,1,5,6,50,female
209,2,3,6,3,4,6,4,34,female
210,5,3,6,3,3,5,4,21,Female
211,6,6,3,2,4,5,3,29,female
212,1,1,7,1,7,7,1,30,Male
213,1,1,7,1,7,7,1,29,male
214,2,1,1,4,1,7,1,55,female
215,5,5,2,5,1,2,6,45,male
216,4,5,2,3,2,3,4,49,female
217,3,3,3,4,3,5,5,40,Male
218,6,7,1,4,1,7,7,36,male
219,3,1,6,2,4,6,2,31,female
220,2,1,3,2,3,6,3,42,male
221,5,1,7,1,2,6,2,34,male
222,2,1,4,1,6,6,1,31,Male
223,2,1,7,2,3,7,2,31,FEMALE
224,2,1,3,1,3,7,1,29,female
225,5,6,2,3,2,3,6,63,Male
226,6,7,1,4,1,1,7,30,Male
227,6,6,2,5,2,4,6,57,female
228,3,1,6,5,5,5,1,543,male
229,1,1,3,1,3,7,4,44,female
230,3,1,5,1,6,7,1,55,Male
231,4,2,4,2,1,6,4,51,Male
232,2,5,3,4,3,3,6,28,Male
233,3,1,2,1,4,7,4,32,Male
234,1,1,7,1,7,7,1,59,female
235,2,1,3,3,4,5,5,34,male
236,7,6,1,7,1,1,6,41,Male
237,3,3,5,2,1,5,5,31,male
238,4,1,6,2,6,7,2,30,Male
239,5,5,1,1,1,7,6,46,Male
240,3,1,2,2,2,4,1,44,male
241,2,1,7,1,7,7,1,33,Male
242,4,6,3,4,4,7,5,30,male
243,3,3,4,3,4,6,4,29,Male
244,3,1,7,1,7,7,1,45,female
245,3,2,4,2,2,4,3,22,male
246,3,1,6,1,6,7,1,34,Male
247,3,5,1,7,2,4,6,29,Male
248,1,1,7,2,7,7,1,22,Woman
249,5,1,3,1,6,5,2,29,female
250,1,2,4,3,5,7,4,30,Female
251,5,6,1,6,1,3,6,26,male
252,5,5,2,4,5,2,3,32,female
253,3,5,2,5,1,6,6,46,Female
254,5,5,3,4,2,2,5,28,Male
255,4,5,1,3,1,5,6,28,female
256,5,6,2,2,2,4,5,30,female
257,4,1,1,5,1,1,6,34,male
258,1,1,7,1,7,7,1,39,male
259,2,1,4,1,5,7,1,26,Male
260,2,1,6,1,6,7,1,32,male
261,7,7,1,7,1,1,7,33,Male
262,2,1,5,1,4,7,2,29,Male
263,6,1,3,1,7,7,1,32,Male
264,6,6,1,3,1,6,5,33,female
265,3,1,2,1,6,7,5,42,male
266,4,1,2,2,5,6,1,49,male
267,3,2,4,2,3,5,3,23,male
268,4,1,7,1,4,7,1,24,Male
269,1,1,7,1,6,7,1,35,female
270,2,1,6,1,6,7,1,43,female
271,7,1,1,1,6,7,6,35,female
272,3,2,6,1,6,6,2,41,Male
273,4,1,1,1,1,4,7,29,male
274,2,2,5,6,1,3,7,49,female
275,4,1,2,1,1,7,6,32,female
276,2,1,6,1,5,7,1,27,Male
277,2,2,6,2,5,7,1,56,male
278,2,1,2,1,4,6,4,26,Male
279,2,1,7,1,7,7,1,39,Female
280,3,1,7,1,7,7,1,33,female
281,5,7,2,6,1,5,7,34,Male
282,2,1,7,1,7,7,1,29,Male
283,2,1,2,1,3,7,1,72,female
284,3,1,6,1,5,6,2,32,Male
285,1,1,2,1,4,4,1,34,FEmale
286,3,4,2,3,2,5,6,39,Male
287,1,1,7,1,7,7,1,30,Male
288,7,5,6,7,6,5,7,28,Female 
289,5,7,2,6,1,4,7,54,female
290,5,5,1,6,1,5,6,45,female
291,1,1,4,1,4,5,4,33,Male
292,2,2,6,2,6,6,2,42,male
293,1,1,5,2,7,7,1,42,male
294,6,6,2,5,1,5,6,25,Male
295,2,2,6,5,3,7,5,34,male
296,2,3,5,2,4,5,2,29,Female
297,3,5,2,1,6,7,4,37,female
298,4,2,5,2,4,4,4,21,Female
299,5,1,6,4,6,6,2,37,Female
300,4,7,1,1,1,1,7,26,Female